campaign,prod_type,subject,sent,uniq_open,uniq_click
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power Packed Debit Card",611,71,1
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power Packed Debit Card",743,77,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",385,41,1
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power Packed Debit Card",1084,102,1
D.C Upgrade,D.C Upgrade,Enjoy Premium benefits on our Signature Debit Card. Upgrade Now,607,44,1
MB Transaction,D.C Upgrade,Love Pizzas? Download IndusMobile and get pizza vouchers worth Rs200.,8049,552,10
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",384,46,1
D.C Upgrade,D.C Upgrade,"Enjoy movie tickets, cash back on spends and more with our Platinum Plus Debit Card",383,30,0
NR Campaign,D.C Upgrade,Video Call your Branch Manager from Anyplace,39722,5337,97
MB Transaction,D.C Upgrade,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,5381,444,13
D.C Upgrade,D.C Upgrade,Enjoy World-Class benefits on our Signature Debit Card. Upgrade Now,1103,94,2
MB Transaction,D.C Upgrade,Download and Drool: Get pizza vouchers worth Rs200 when you download IndusMobile app.,8133,536,12
D.C Upgrade,D.C Upgrade,Enjoy Exceptional benefits on our Signature Debit Card. Upgrade Now,377,38,0
D.C Upgrade,D.C Upgrade,Enjoy 12 movie tickets when you upgrade to our Platinum Premier Debit Card,759,57,2
MB Transaction,D.C Upgrade,Love Movies? Download IndusMobile and get BookMyShow vouchers worth Rs200.,12955,978,9
MB Transaction,D.C Upgrade,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,12829,971,16
MB Transaction,D.C Upgrade,Love Movies? Download IndusMobile and get BookMyShow vouchers worth Rs200.,5355,409,7
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",44,8,0
MB Transaction,D.C Upgrade,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,88535,7029,134
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",44,9,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power Packed Debit Card",50,10,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power Packed Debit Card",56,7,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power Packed Debit Card",51,9,0
